,Graph_i,Count,Rate
0,0,240,0.3333333333333333
1,1,258,0.35833333333333334
2,2,288,0.4
3,3,232,0.32222222222222224
4,4,244,0.3388888888888889
5,5,174,0.24166666666666667
6,6,184,0.25555555555555554
7,7,196,0.2722222222222222
8,8,196,0.2722222222222222
9,9,136,0.18888888888888888
10,10,156,0.21666666666666667
11,11,156,0.21666666666666667
12,12,96,0.13333333333333333
13,13,144,0.2
14,14,372,0.5166666666666667
15,15,366,0.5083333333333333
16,16,384,0.5333333333333333
17,17,376,0.5222222222222223
18,18,202,0.28055555555555556
19,19,294,0.4083333333333333
20,20,324,0.45
21,21,254,0.3527777777777778
22,22,160,0.2222222222222222
23,23,274,0.38055555555555554
24,24,280,0.3888888888888889
25,25,276,0.38333333333333336
26,26,284,0.39444444444444443
27,27,348,0.48333333333333334
28,28,214,0.2972222222222222
29,29,288,0.4
30,30,248,0.34444444444444444
31,31,265,0.3680555555555556
32,32,187,0.25972222222222224
33,33,244,0.3388888888888889
34,34,264,0.36666666666666664
35,35,220,0.3055555555555556
36,36,252,0.35
37,37,260,0.3611111111111111
38,38,176,0.24444444444444444
39,39,198,0.275
40,40,212,0.29444444444444445
41,41,192,0.26666666666666666
42,42,188,0.2611111111111111
43,43,120,0.16666666666666666
44,44,216,0.3
45,45,264,0.36666666666666664
46,46,96,0.13333333333333333
47,47,206,0.2861111111111111
48,48,152,0.2111111111111111
49,49,324,0.45
50,50,112,0.15555555555555556
51,51,189,0.2625
52,52,88,0.12222222222222222
53,53,184,0.25555555555555554
54,54,188,0.2611111111111111
55,55,114,0.15833333333333333
56,56,120,0.16666666666666666
57,57,132,0.18333333333333332
58,58,140,0.19444444444444445
59,59,92,0.12777777777777777
60,60,104,0.14444444444444443
61,61,150,0.20833333333333334
62,62,162,0.225
63,63,192,0.26666666666666666
64,64,224,0.3111111111111111
65,65,112,0.15555555555555556
66,66,168,0.23333333333333334
67,67,148,0.20555555555555555
68,68,144,0.2
69,69,156,0.21666666666666667
70,70,84,0.11666666666666667
71,71,72,0.1
72,72,96,0.13333333333333333
73,73,72,0.1
74,74,144,0.2
75,75,600,0.8333333333333334
76,76,244,0.3388888888888889
77,77,564,0.7833333333333333
78,78,468,0.65
79,79,540,0.75
80,80,372,0.5166666666666667
81,81,472,0.6555555555555556
82,82,356,0.49444444444444446
83,83,460,0.6388888888888888
84,84,330,0.4583333333333333
85,85,392,0.5444444444444444
86,86,176,0.24444444444444444
87,87,416,0.5777777777777777
88,88,354,0.49166666666666664
89,89,456,0.6333333333333333
90,90,288,0.4
91,91,260,0.3611111111111111
92,92,280,0.3888888888888889
93,93,348,0.48333333333333334
94,94,472,0.6555555555555556
95,95,182,0.25277777777777777
96,96,356,0.49444444444444446
97,97,360,0.5
98,98,336,0.4666666666666667
99,99,228,0.31666666666666665
100,100,220,0.3055555555555556
101,101,232,0.32222222222222224
102,102,256,0.35555555555555557
103,103,288,0.4
104,104,152,0.2111111111111111
105,105,156,0.21666666666666667
106,106,112,0.15555555555555556
107,107,120,0.16666666666666666
108,108,48,0.06666666666666667
109,109,96,0.13333333333333333
110,110,240,0.3333333333333333
111,111,720,1.0
